1,2.4837,33.979
2,1.8672,37.229
3,2.7627,37.015
4,2.8438,39.385
5,2.1268,37.183
6,3.2955,34.713
7,3.2946,36.761
8,2.6812,33.982
9,2.8636,35.961
10,2.7873,35.904
11,2.6066,36
12,3.0629,35.364
13,2.4058,38.19
14,3.7916,32.252
15,2.6318,36.856
16,2.757,37.791
17,3.2334,37.462
18,2.7296,37.156
19,2.6522,36.081
20,2.2838,37.354
21,2.8472,37.138
22,2.0319,35.489
23,3.0572,35.245
24,3.5118,35.408
25,2.3541,33.05
26,3.129,35.532
27,3.327,36.237
28,1.9031,36.63
29,1.9795,38.887
30,2.9856,35.298
31,2.5001,37.246
32,3.045,37.598
33,3.1078,37.882
34,3.056,34.016
35,3.3451,36.424
36,3.0343,36.476
37,3.2954,33.984
38,2.0988,34.516
39,2.6901,38.165
40,2.6216,35.737
41,1.898,36.78
42,2.8287,36.176
43,2.1718,34.729
44,3.4076,34.881
45,2.2975,36.887
46,2.9644,34.1
47,2.8097,37.562
48,2.239,37.138
49,1.6147,34.357
50,2.6704,35.469
